PMID,Title,Journal,Year,Cited_By_Count
41653336,Facial nerve preservation following gamma knife radiosurgery for vestibular schwannomas in neurofibr,Neurosurg Rev,2026,0
41364131,Clinical effectiveness of enhanced recovery after surgery in robotic prostatectomy: a meta-analysis ,J Robot Surg,2025,0
40691942,Evidence on vaping e-cigarettes as a risk factor for cancer: A systematic review.,J Cancer Policy,2025,3
40531283,Postoperative Nausea and Vomiting After Metabolic Bariatric Surgery: a Comprehensive Review.,Obes Surg,2025,6
40379858,Statin use and Pancreatic Cancer: A Meta-analysis of its Association with Incidence in the General P,J Gastrointest Cancer,2025,5
40349787,Association Between Kidney Stones and Subsequent Risk of Upper Tract Urothelial Carcinoma: A Systema,Urology,2025,3
40311311,Antibody-drug conjugate components in association with the incidence of ADC-related interstitial lun,Lung Cancer,2025,4
39976777,Sarcopenia as a predictor of poor functional outcome of cervical spine surgery: a systematic review ,Neurosurg Rev,2025,10
39883207,An early evaluation of robot-assisted and conventional techniques for posterior approach atlantoaxia,Neurosurg Rev,2025,5
39636922,"Investigating the relationship between insulin use and all-cause mortality, breast cancer mortality,",PLoS One,2024,3
39562510,Effect of Internet-Based Cognitive Behavioral Therapy on Psychological Distress and Quality of Life ,Psychooncology,2024,4
39404892,Pedal to the metal: accelerating intracerebral hemorrhage treatment with robotic-assisted surgery. A,Neurosurg Rev,2024,6
39327332,"Letter to the editor: ""Efficacy and safety of neuroendoscopy surgery versus craniotomy for supratent",Neurosurg Rev,2024,0
39325830,RETRACTED: The association between mode of childbirth delivery and early childhood caries: A compreh,PLoS One,2024,1
39244391,Omitting axillary lymph node dissection is associated with an increased risk of regional recurrence ,Clin Breast Cancer,2024,5
39117277,Propranolol to decrease time to delivery: a meta-analysis of randomized controlled trials.,Am J Obstet Gynecol MFM,2024,3
38973678,Pregnancy outcomes of foetal reduction from twin to singleton gestation compared to ongoing twin ges,J Obstet Gynaecol,2024,0
38654483,The effect of preoperative mechanical bowel preparation in paediatric bowel surgery on postoperative,Int Wound J,2024,0
38651532,The effect of negative pressure wound therapy on the outcome of diabetic foot ulcers: A meta-analysi,Int Wound J,2024,13
38634192,Leptin receptor Gln223Arg and Lys109Arg polymorphisms may be associated with HBV-related hepatocellu,Environ Toxicol,2024,1
38629618,Effect of platelet-rich plasma combined with negative pressure wound therapy in treating patients wi,Int Wound J,2024,1
38629613,Meta-analysis comparing different ultrasound detection methods to accurately assess wound healing an,Int Wound J,2024,0
38600417,Bridging the gap: robotic applications in cerebral aneurysms neurointerventions - a systematic revie,Neurosurg Rev,2024,10
38584331,The role of traditional Chinese medicine in postoperative wound complications of gastric cancer.,Int Wound J,2024,2
38577937,Effect of probiotics and synbiotics on complications of wound infection after colorectal surgery: A ,Int Wound J,2024,4
38573879,RETRACTED: High CASC expression predicts poor prognosis of lung cancer: A systematic review with met,PLoS One,2024,4
38571455,Comparing surgical site wound infection after laparoscopic and open radical cystectomies in patients,Int Wound J,2024,0
38531376,Impacts of enhanced recovery after surgery nursing interventions on wound infection and complication,Int Wound J,2024,1
38531356,The effect of primary closure versus secondary closure techniques on postoperative wound pain in pat,Int Wound J,2024,3
38512112,Evaluation of perineal wound healing and pain outcomes after low-angle mediolateral episiotomy in wo,Int Wound J,2024,2
